amount,is_international,hour,is_night,high_amount_flag,category_code,device_type_code,channel_code,entry_mode_code,country_code,is_fraud
1937.46,1,1,1,0,1,0,1,0,2,0
1493.88,1,12,0,0,3,0,0,1,2,0
1385.59,0,6,1,0,4,1,0,2,0,0
1610.54,0,4,1,0,3,0,0,0,0,0
1703.89,0,1,1,0,4,0,1,1,0,0
1479.55,1,7,0,0,0,0,0,2,2,0
1492.67,1,3,1,0,0,0,0,0,2,0
4598.05,1,7,0,0,1,2,0,2,2,1
2494.02,1,13,0,0,2,0,0,3,3,0
1737.93,0,23,1,0,2,0,0,2,0,0
1417.11,0,11,0,0,4,0,0,4,0,0
74.42,0,15,0,0,1,2,0,1,0,0
2700.07,0,22,0,0,3,0,1,0,0,0
2457.54,0,7,0,0,1,0,0,0,0,0
2397.52,0,0,1,0,4,0,1,1,0,0
2102.15,0,1,1,0,4,0,0,4,0,0
1341.91,0,2,1,0,2,0,0,3,0,0
1623.69,1,11,0,0,0,1,0,4,3,0
1620.61,0,14,0,0,5,2,0,3,0,0
521.1,0,17,0,0,1,0,1,4,0,0
1009.14,1,19,0,0,2,1,1,2,2,0
2264.39,0,12,0,0,5,0,0,1,0,0
2506.44,0,14,0,0,4,0,0,1,0,0
1801.19,0,16,0,0,4,0,1,4,0,0
1095.77,0,12,0,0,3,0,0,4,0,0
1109.95,0,20,0,0,3,1,0,0,0,0
1516.47,0,6,1,0,5,0,0,2,0,0
2693.25,0,18,0,0,0,2,0,4,0,0
1411.84,1,6,1,0,5,0,1,2,3,0
2177.03,0,14,0,0,5,2,0,1,0,0
2895.33,1,9,0,0,4,1,0,3,4,0
742.36,0,6,1,0,4,1,1,3,0,0
980.27,0,2,1,0,5,0,0,2,0,0
1654.96,0,19,0,0,5,2,0,2,0,0
1491.74,0,0,1,0,0,0,0,0,0,0
1598.4,0,15,0,0,4,2,0,0,0,0
5921.32,1,15,0,1,5,2,0,3,4,1
2347.94,0,12,0,0,5,0,0,2,0,0
817.21,0,8,0,0,0,1,0,2,0,0
3194.66,0,15,0,0,2,1,0,4,0,0
1403.57,0,3,1,0,2,1,0,3,0,0
1381.65,0,22,0,0,2,1,0,2,0,0
437.13,1,6,1,0,3,0,1,3,1,0
2150.09,0,9,0,0,4,0,0,0,0,0
1098.99,0,5,1,0,3,0,1,0,0,0
1543.77,1,18,0,0,5,1,0,2,3,0
787.3,0,13,0,0,4,2,0,4,0,0
2213.71,0,18,0,0,5,0,0,1,0,0
1219.72,0,6,1,0,3,2,0,3,0,0
1855.25,0,15,0,0,3,1,1,2,0,0
1715.76,0,9,0,0,1,0,0,2,0,0
2727.91,1,14,0,0,0,2,1,3,2,0
1913.77,0,1,1,0,1,1,0,4,0,0
1952.69,0,4,1,0,0,1,1,3,0,0
1792.91,0,16,0,0,4,1,0,1,0,0
3392.41,1,1,1,0,4,0,0,0,4,1
1466.82,1,13,0,0,4,0,1,1,3,0
1748.45,1,20,0,0,4,2,1,3,3,0
327.29,1,16,0,0,5,1,0,2,2,0
1652.86,0,18,0,0,4,2,0,3,0,0
728.5,0,19,0,0,0,2,0,0,0,0
2522.83,0,12,0,0,3,0,0,3,0,0
1937.07,0,16,0,0,5,1,0,2,0,0
1352.51,0,22,0,0,1,0,0,4,0,0
1256.75,0,17,0,0,0,0,1,1,0,0
965.24,0,0,1,0,2,2,0,4,0,0
1206.16,0,5,1,0,0,2,0,1,0,0
2441.08,0,22,0,0,2,1,0,4,0,0
604.03,0,2,1,0,0,1,1,0,0,0
1007.85,1,3,1,0,3,1,0,0,3,0
1085.45,1,17,0,0,5,0,0,3,1,0
497.63,0,14,0,0,2,0,0,0,0,0
2154.93,1,4,1,0,1,0,0,4,3,0
1897.23,0,4,1,0,0,1,0,0,0,0
1324.49,0,12,0,0,5,1,1,1,0,0
876.41,0,10,0,0,2,2,0,2,0,0
1882.83,0,3,1,0,0,0,0,4,0,0
2303.78,1,23,1,0,3,1,1,4,4,0
1579.22,0,5,1,0,1,1,0,4,0,0
1836.65,0,4,1,0,0,2,1,3,0,0
1090.25,0,2,1,0,0,0,1,3,0,0
2095.15,1,23,1,0,3,0,0,4,4,0
447.3,1,3,1,0,0,1,0,4,2,0
2070.35,0,1,1,0,3,2,0,3,0,0
2954.98,0,6,1,0,4,0,0,4,0,0
30.53,0,11,0,0,2,0,1,4,0,0
2966.1,0,10,0,0,3,0,0,4,0,0
1101.32,0,0,1,0,4,0,0,4,0,0
1444.17,1,19,0,0,3,0,0,4,1,0
2156.6,0,18,0,0,0,0,1,3,0,0
1162.99,0,3,1,0,0,0,0,2,0,0
983.01,0,23,1,0,5,0,0,3,0,0
1691.66,0,1,1,0,2,0,0,2,0,0
2413.15,0,13,0,0,3,1,0,3,0,0
523.18,0,11,0,0,0,1,1,0,0,0
496.04,0,18,0,0,3,1,1,2,0,0
1225.74,0,8,0,0,3,1,0,3,0,0
1463.16,0,7,0,0,2,0,0,0,0,0
1203.46,0,20,0,0,5,0,0,0,0,0
259.45,0,20,0,0,4,0,0,1,0,0
2231.48,1,3,1,0,2,1,1,4,1,0
513.63,0,16,0,0,0,1,1,1,0,0
1453.71,0,7,0,0,3,0,1,0,0,0
1665.16,0,17,0,0,4,0,0,0,0,0
718.08,0,10,0,0,0,1,0,1,0,0
2499.95,0,4,1,0,4,0,0,3,0,0
1350.95,1,23,1,0,4,1,0,3,4,0
1865.01,0,23,1,0,3,0,0,0,0,0
1080.51,0,14,0,0,0,0,0,2,0,0
1416.36,0,6,1,0,3,1,1,4,0,0
1123.69,0,0,1,0,1,0,0,0,0,0
816.6,0,4,1,0,3,1,0,3,0,0
2160.98,1,12,0,0,3,0,0,2,4,0
1844.22,1,10,0,0,1,1,0,1,3,0
725.72,1,11,0,0,1,0,0,2,1,0
1474.01,0,13,0,0,3,0,0,1,0,0
561.26,0,17,0,0,3,0,0,3,0,0
10.0,0,23,1,0,0,0,0,3,0,0
1827.27,0,7,0,0,3,1,1,1,0,0
2217.84,1,0,1,0,3,1,0,2,3,0
1620.97,0,16,0,0,0,0,0,1,0,0
1254.02,1,14,0,0,5,0,0,2,2,0
2723.43,1,6,1,0,1,1,1,4,4,0
2353.77,0,19,0,0,4,1,0,1,0,0
701.71,1,9,0,0,3,0,0,0,3,0
1060.35,0,6,1,0,2,0,1,3,0,0
1202.89,0,16,0,0,4,2,0,4,0,0
880.88,0,14,0,0,0,0,0,4,0,0
1607.05,0,7,0,0,5,0,0,1,0,0
235.22,0,10,0,0,0,1,1,4,0,0
970.35,1,2,1,0,3,2,0,3,1,0
2561.22,0,17,0,0,1,2,1,3,0,0
1105.78,0,5,1,0,2,1,0,1,0,0
1815.31,1,0,1,0,0,0,0,0,2,0
1799.9,1,0,1,0,5,0,0,2,4,0
614.9,1,23,1,0,0,1,0,2,4,0
2218.76,0,3,1,0,0,0,1,4,0,0
467.61,0,18,0,0,4,0,0,3,0,0
1843.26,0,12,0,0,3,1,1,0,0,0
389.34,0,6,1,0,0,0,1,4,0,0
2553.61,0,13,0,0,1,1,0,2,0,0
2585.82,0,14,0,0,0,0,1,0,0,0
2669.2,0,16,0,0,0,0,1,4,0,0
1627.0,0,10,0,0,3,0,0,1,0,0
2224.1,0,12,0,0,1,0,0,4,0,0
992.93,0,2,1,0,4,1,1,0,0,0
1278.44,0,22,0,0,1,1,0,4,0,0
1430.11,0,12,0,0,2,0,1,3,0,0
671.37,1,19,0,0,2,0,0,1,4,0
1162.24,0,21,0,0,4,1,0,0,0,0
252.35,0,4,1,0,0,0,0,1,0,0
1559.98,1,14,0,0,3,0,0,3,2,0
1036.86,1,3,1,0,4,2,0,1,4,0
1149.05,1,18,0,0,1,1,1,1,2,0
1784.33,0,9,0,0,5,0,0,4,0,0
1347.02,0,1,1,0,2,1,0,0,0,0
1398.63,0,0,1,0,4,0,0,0,0,0
811.29,0,19,0,0,3,2,0,1,0,0
1997.91,1,19,0,0,1,0,1,1,4,0
1432.92,0,9,0,0,4,0,0,0,0,0
1634.81,1,10,0,0,4,0,0,1,4,0
1327.52,0,1,1,0,3,0,0,1,0,0
755.55,0,9,0,0,0,1,0,4,0,0
1077.1,0,18,0,0,1,1,1,2,0,0
1288.82,0,16,0,0,3,1,0,0,0,0
2018.96,0,12,0,0,2,2,0,2,0,0
1738.72,0,20,0,0,2,0,1,3,0,0
442.14,1,11,0,0,0,0,0,0,3,0
271.33,0,18,0,0,3,1,0,2,0,0
1424.02,0,2,1,0,1,1,0,0,0,0
1696.87,0,0,1,0,2,0,0,4,0,0
1357.01,1,22,0,0,4,1,0,0,1,0
2462.3,0,17,0,0,0,1,0,3,0,0
744.12,0,6,1,0,3,0,0,3,0,0
1468.26,1,1,1,0,3,0,0,0,1,0
2530.04,1,17,0,0,4,0,0,0,2,0
1887.22,1,12,0,0,1,0,0,2,2,0
1406.41,0,0,1,0,5,2,0,0,0,0
1744.62,0,18,0,0,1,0,1,4,0,0
428.45,0,21,0,0,2,0,0,0,0,0
730.29,0,9,0,0,3,2,0,0,0,0
2173.55,0,22,0,0,0,2,0,1,0,0
1887.48,0,1,1,0,0,0,1,1,0,0
1624.26,0,4,1,0,2,0,0,1,0,0
1953.3,0,20,0,0,2,1,0,1,0,0
139.82,0,16,0,0,2,1,0,2,0,0
524.07,1,20,0,0,5,0,1,4,4,1
1511.51,0,11,0,0,1,1,0,3,0,0
1660.28,0,8,0,0,2,1,1,0,0,0
1963.8,1,3,1,0,2,0,0,0,4,0
1520.76,0,4,1,0,4,0,0,1,0,0
1521.87,0,18,0,0,3,1,0,3,0,0
1439.73,1,5,1,0,5,2,0,4,4,0
2599.0,0,2,1,0,4,0,1,3,0,0
1987.25,1,21,0,0,2,1,0,1,3,0
1942.27,0,8,0,0,0,1,0,1,0,0
1522.94,0,10,0,0,3,0,0,1,0,0
10.0,1,0,1,0,1,0,1,2,2,0
2325.5,0,18,0,0,4,2,1,4,0,0
482.76,0,14,0,0,0,2,0,3,0,0
2131.99,1,17,0,0,3,0,0,0,2,0
883.8,0,15,0,0,0,1,0,4,0,0
2710.93,0,11,0,0,3,2,1,4,0,0
5457.74,1,6,1,1,1,0,1,4,3,1
1562.91,1,7,0,0,4,0,1,3,1,0
1552.12,0,0,1,0,1,1,0,0,0,0
1490.74,0,0,1,0,2,0,0,0,0,0
900.22,0,13,0,0,0,0,0,1,0,0
749.17,1,18,0,0,0,2,1,3,1,0
1203.42,1,17,0,0,2,0,1,0,3,0
799.71,1,20,0,0,1,1,0,0,1,0
3192.12,1,9,0,0,3,1,0,2,4,1
2637.97,0,10,0,0,0,0,0,1,0,0
1341.61,0,15,0,0,0,0,0,0,0,0
1594.41,0,19,0,0,4,0,0,4,0,0
1362.56,0,22,0,0,0,2,0,3,0,0
1580.63,0,13,0,0,2,1,0,2,0,0
2551.17,1,19,0,0,0,0,0,4,2,0
2056.8,0,17,0,0,0,0,0,2,0,0
722.27,0,23,1,0,4,0,1,1,0,0
1891.28,0,14,0,0,0,0,0,2,0,0
1481.5,1,18,0,0,3,2,1,0,4,0
2572.58,1,12,0,0,4,0,0,0,4,1
2413.48,1,5,1,0,4,0,1,4,1,0
1158.18,0,20,0,0,5,0,0,1,0,0
538.46,1,3,1,0,2,0,0,2,1,0
1288.26,0,13,0,0,1,0,0,0,0,0
2503.65,0,15,0,0,3,0,0,1,0,0
3491.71,0,7,0,0,4,0,0,0,0,0
2096.18,0,15,0,0,1,0,0,1,0,0
2218.15,0,8,0,0,0,1,1,0,0,0
1470.34,0,7,0,0,0,1,0,1,0,0
3016.15,1,10,0,0,0,0,0,2,1,0
2904.42,1,11,0,0,3,0,0,3,2,1
1396.9,0,17,0,0,0,0,0,3,0,0
10.0,0,23,1,0,5,0,0,4,0,0
2175.74,1,19,0,0,4,1,0,4,4,0
1696.36,1,4,1,0,0,2,0,4,2,0
1300.48,1,6,1,0,3,1,0,1,2,0
1182.6,0,12,0,0,0,0,0,1,0,0
1245.37,1,0,1,0,4,1,0,4,2,0
549.67,1,9,0,0,1,1,1,3,2,0
2527.87,0,16,0,0,1,0,0,4,0,0
1457.4,0,9,0,0,0,0,0,4,0,0
1029.66,1,9,0,0,3,0,1,3,4,0
2727.27,1,23,1,0,4,0,0,2,1,0
1492.62,0,2,1,0,1,1,0,1,0,0
2297.49,0,21,0,0,0,1,0,1,0,0
1945.87,1,2,1,0,3,0,1,3,3,0
1581.22,1,0,1,0,0,0,0,4,4,0
1310.57,0,7,0,0,2,0,1,0,0,0
2044.55,1,9,0,0,4,0,0,3,3,0
960.53,0,20,0,0,0,1,0,0,0,0
1771.69,0,12,0,0,5,0,1,0,0,0
1934.53,1,21,0,0,4,1,0,2,4,0
1751.88,1,13,0,0,3,1,0,4,3,0
1668.28,1,17,0,0,1,1,1,4,3,0
2084.82,0,14,0,0,0,0,0,4,0,0
874.6,1,22,0,0,3,2,1,2,1,0
1094.82,0,6,1,0,4,2,0,2,0,0
3034.4,0,6,1,0,3,2,0,4,0,0
1206.3,0,4,1,0,3,0,0,4,0,0
1955.08,0,5,1,0,5,1,1,4,0,0
2407.01,0,7,0,0,4,0,0,4,0,0
561.26,1,16,0,0,4,2,1,3,4,0
1785.9,1,10,0,0,0,0,0,2,3,0
1122.62,0,19,0,0,0,0,0,4,0,0
1465.81,0,0,1,0,3,1,0,0,0,0
1570.33,0,13,0,0,2,1,0,4,0,0
9540.84,1,13,0,1,5,1,0,0,1,1
1193.07,0,12,0,0,5,0,0,2,0,0
975.13,0,4,1,0,5,1,0,4,0,0
1406.38,0,17,0,0,4,0,0,0,0,0
1352.93,1,10,0,0,3,1,1,2,1,0
956.02,0,11,0,0,3,0,0,4,0,0
1225.55,0,16,0,0,3,2,1,2,0,0
1551.68,0,1,1,0,4,0,0,0,0,0
1295.03,0,0,1,0,0,2,0,3,0,0
1111.8,0,17,0,0,4,0,0,3,0,0
1401.45,1,5,1,0,0,1,1,2,3,0
1385.39,1,9,0,0,2,1,0,2,4,0
1456.94,1,12,0,0,1,0,1,4,3,0
1080.47,0,20,0,0,0,0,0,1,0,0
670.37,1,21,0,0,1,1,0,0,2,0
1166.41,0,18,0,0,0,0,0,3,0,0
1536.88,0,21,0,0,2,0,0,1,0,0
2750.56,0,5,1,0,0,0,0,2,0,0
966.5,1,19,0,0,1,1,1,2,2,0
656.5,1,7,0,0,0,2,0,3,3,0
9591.7,0,14,0,1,3,1,0,2,0,1
2358.35,0,0,1,0,0,2,1,2,0,0
1717.07,1,18,0,0,0,0,1,0,3,0
2197.04,1,10,0,0,1,1,0,0,2,0
929.52,1,1,1,0,3,0,1,4,2,0
1279.66,1,21,0,0,4,0,0,0,1,0
582.68,1,12,0,0,3,0,1,1,4,0
1487.7,0,20,0,0,3,0,0,0,0,0
814.42,0,7,0,0,5,0,0,1,0,0
818.67,1,4,1,0,0,0,0,3,2,0
2263.75,0,23,1,0,4,0,0,1,0,0
1118.76,0,1,1,0,3,1,0,0,0,0
1058.33,0,6,1,0,2,0,0,0,0,0
470.22,0,11,0,0,4,1,0,2,0,0
2601.23,0,7,0,0,0,0,0,2,0,0
1919.36,0,2,1,0,3,0,0,4,0,0
375.13,0,6,1,0,0,1,0,0,0,0
3220.37,0,0,1,0,0,0,1,3,0,0
2288.67,0,13,0,0,0,0,0,3,0,0
955.24,0,13,0,0,2,1,0,4,0,0
927.21,0,5,1,0,4,2,0,0,0,0
1108.3,0,5,1,0,5,0,1,0,0,0
2589.21,0,6,1,0,0,0,0,1,0,0
1283.61,1,19,0,0,0,1,0,0,4,0
1037.29,0,23,1,0,2,0,1,1,0,0
1390.42,1,15,0,0,0,1,1,2,3,0
2342.42,0,16,0,0,0,2,0,3,0,0
2259.05,0,1,1,0,0,1,0,0,0,0
971.05,0,16,0,0,1,0,0,3,0,0
1762.73,0,13,0,0,2,0,0,4,0,0
1662.52,0,6,1,0,3,0,0,4,0,0
1164.22,1,23,1,0,4,1,0,4,3,0
490.53,0,12,0,0,0,0,0,4,0,0
2463.73,0,2,1,0,1,0,1,0,0,0
1163.21,1,7,0,0,4,0,0,4,1,0
1829.32,0,23,1,0,3,0,0,4,0,0
1191.32,0,22,0,0,4,2,0,1,0,0
1614.72,0,22,0,0,0,0,0,4,0,0
1471.6,1,5,1,0,2,0,1,4,2,0
1112.59,0,23,1,0,4,1,0,0,0,0
1939.7,0,23,1,0,2,1,0,2,0,0
980.16,0,15,0,0,1,2,0,1,0,0
1114.5,0,22,0,0,1,1,0,2,0,0
934.41,1,0,1,0,1,1,0,0,2,0
1667.92,1,17,0,0,0,0,0,2,2,0
1049.52,0,22,0,0,4,0,1,4,0,0
1083.88,0,12,0,0,5,1,0,2,0,0
942.58,0,6,1,0,3,0,0,3,0,0
1096.17,0,8,0,0,0,0,0,3,0,0
1729.13,0,11,0,0,4,0,0,0,0,0
1518.18,1,14,0,0,0,1,0,2,4,0
1454.05,1,3,1,0,3,0,1,0,1,0
1965.74,1,8,0,0,0,0,0,2,3,0
1271.91,0,23,1,0,1,2,0,4,0,0
1024.37,0,13,0,0,1,0,0,2,0,0
1309.08,0,9,0,0,3,0,1,2,0,0
1041.88,1,4,1,0,5,0,0,0,4,0
1450.5,0,13,0,0,0,0,0,0,0,0
1344.92,1,0,1,0,5,0,1,3,4,0
1608.73,0,12,0,0,4,1,0,2,0,0
1879.99,0,21,0,0,1,1,1,0,0,0
1429.31,0,20,0,0,5,0,0,3,0,0
948.15,1,21,0,0,3,1,0,0,1,0
1507.2,1,17,0,0,2,2,0,0,2,0
1697.83,0,5,1,0,0,1,1,2,0,0
2379.26,0,18,0,0,1,0,0,3,0,0
1762.98,0,6,1,0,4,1,0,2,0,0
1128.51,1,13,0,0,0,0,1,2,3,0
1434.12,1,14,0,0,0,2,0,0,3,0
2282.48,1,0,1,0,3,0,0,4,3,0
1270.79,1,21,0,0,4,2,0,0,2,0
1884.29,0,13,0,0,3,0,0,3,0,0
784.7,0,1,1,0,1,0,0,1,0,0
1017.31,0,1,1,0,1,0,0,3,0,0
1833.01,0,16,0,0,0,0,1,4,0,0
1418.87,0,20,0,0,4,0,0,0,0,0
724.07,0,8,0,0,4,2,0,2,0,0
2482.52,1,21,0,0,3,0,1,2,3,0
1828.79,0,14,0,0,3,2,0,2,0,0
2060.68,0,20,0,0,4,2,0,4,0,0
17.67,0,7,0,0,2,1,1,2,0,0
2017.26,0,12,0,0,2,2,0,2,0,0
1869.22,0,10,0,0,5,0,0,4,0,0
1665.7,0,3,1,0,4,0,0,3,0,0
1297.64,1,9,0,0,1,0,0,3,2,0
1511.29,1,2,1,0,2,0,0,1,1,0
1518.82,0,8,0,0,5,0,1,1,0,0
1538.84,1,3,1,0,5,0,0,0,2,0
907.9,0,18,0,0,0,0,0,2,0,0
2118.42,1,0,1,0,4,0,0,4,3,0
1105.74,1,7,0,0,5,0,0,3,2,0
1301.8,0,15,0,0,4,0,0,3,0,0
1854.8,0,22,0,0,0,0,0,2,0,0
2447.68,1,1,1,0,0,0,0,0,4,0
1273.35,1,21,0,0,3,0,1,2,3,0
1600.26,1,22,0,0,4,0,0,3,1,0
345.65,1,2,1,0,5,0,1,4,2,0
2510.94,0,1,1,0,0,0,0,1,0,1
1498.73,1,4,1,0,3,0,1,4,1,0
2081.78,1,3,1,0,3,0,1,0,1,0
2036.05,1,22,0,0,4,0,0,2,3,0
2582.59,0,1,1,0,2,0,0,3,0,0
2168.16,1,2,1,0,4,0,0,4,1,0
3530.97,1,15,0,0,3,1,0,3,1,1
651.48,0,0,1,0,4,0,0,0,0,0
968.47,1,18,0,0,0,1,0,3,4,0
479.65,0,17,0,0,5,1,0,3,0,0
990.96,0,8,0,0,5,1,0,0,0,0
1426.51,0,18,0,0,1,2,0,2,0,0
9550.2,1,23,1,1,4,0,0,3,2,1
1035.43,0,8,0,0,2,1,1,4,0,0
1266.0,1,20,0,0,5,0,0,1,1,0
1260.33,0,7,0,0,1,0,0,0,0,0
1261.65,0,6,1,0,0,0,0,4,0,0
1036.41,1,16,0,0,1,1,0,3,3,0
1549.1,0,18,0,0,0,0,0,0,0,0
604.43,1,18,0,0,0,1,1,1,4,0
733.81,0,6,1,0,1,1,1,0,0,0
2884.87,0,23,1,0,0,0,1,1,0,0
10.0,1,18,0,0,3,0,1,4,3,0
681.51,1,23,1,0,4,0,0,1,2,0
1839.79,0,14,0,0,4,0,1,2,0,0
623.4,0,9,0,0,5,0,0,2,0,0
1243.82,0,6,1,0,0,0,0,2,0,0
1881.98,0,1,1,0,1,0,0,0,0,0
1598.67,0,8,0,0,1,2,0,4,0,0
1516.53,0,20,0,0,0,0,0,1,0,0
2417.96,1,17,0,0,4,0,0,1,2,0
4130.94,1,0,1,0,3,0,0,2,3,1
1721.41,0,23,1,0,0,1,1,0,0,0
2440.89,0,14,0,0,1,1,0,0,0,0
1947.38,1,3,1,0,0,0,1,4,2,0
2157.11,0,15,0,0,3,2,0,3,0,0
2652.2,0,2,1,0,3,0,0,1,0,0
898.93,1,3,1,0,0,1,1,4,3,0
531.31,0,12,0,0,5,0,1,0,0,0
2533.83,0,6,1,0,3,0,0,2,0,0
992.4,0,5,1,0,2,1,0,4,0,0
1029.07,0,3,1,0,4,1,0,3,0,0
958.05,0,1,1,0,5,2,0,3,0,0
917.68,0,7,0,0,4,0,0,3,0,0
2280.52,1,23,1,0,3,2,0,0,3,0
1335.26,0,10,0,0,3,0,1,4,0,0
2053.55,1,2,1,0,1,0,0,1,1,0
1884.32,0,16,0,0,3,1,0,1,0,0
1828.17,0,18,0,0,3,0,0,1,0,0
1526.51,1,18,0,0,1,0,0,0,2,0
10.0,0,11,0,0,1,0,1,1,0,0
1346.28,0,15,0,0,1,0,1,4,0,0
2101.48,1,0,1,0,0,0,0,2,4,0
1746.42,1,14,0,0,3,0,1,0,2,0
714.36,0,20,0,0,5,0,1,2,0,0
2257.92,0,12,0,0,2,2,0,0,0,0
1685.81,1,19,0,0,5,0,0,3,1,0
1644.6,0,10,0,0,1,2,0,2,0,0
901.85,0,2,1,0,0,0,0,0,0,0
697.59,0,0,1,0,3,1,0,2,0,0
2206.28,0,7,0,0,0,0,0,0,0,0
2331.34,1,6,1,0,2,1,0,2,2,0
2172.11,0,8,0,0,2,0,0,2,0,0
941.9,1,8,0,0,3,1,1,0,2,0
600.07,0,14,0,0,3,0,1,3,0,0
1723.22,0,15,0,0,2,0,0,4,0,0
1696.71,1,22,0,0,3,1,1,3,4,0
2116.81,0,10,0,0,4,0,1,3,0,0
1472.17,0,4,1,0,4,0,0,2,0,0
1505.05,1,19,0,0,2,2,0,1,2,0
10241.66,1,15,0,1,0,0,0,2,3,1
2784.33,0,15,0,0,4,0,0,1,0,0
2043.73,0,23,1,0,0,0,0,3,0,0
1430.99,0,5,1,0,2,0,0,1,0,0
810.39,1,5,1,0,3,1,0,3,4,0
1054.14,0,18,0,0,0,1,0,0,0,0
1937.36,0,9,0,0,3,0,0,0,0,0
1384.04,1,14,0,0,4,0,0,2,4,0
